Date__(UT)__HR:MN, , ,R.A._(ICRF),DEC_(ICRF),delta,deldot,
 2022-Jul-08 00:00, , ,   286.85854,  -22.53192,  1.01667973210454, -0.0323030,
 2022-Jul-09 00:00, , ,   287.88285,  -22.41870,  1.01665887235669, -0.0398360,
 2022-Jul-10 00:00, , ,   288.90540,  -22.29903,  1.01663383027856, -0.0467854,
 2022-Jul-11 00:00, , ,   289.92611,  -22.17298,  1.01660493955513, -0.0531711,
 2022-Jul-12 00:00, , ,   290.94495,  -22.04058,  1.01657250689917, -0.0590686,
 2022-Jul-13 00:00, , ,   291.96185,  -21.90190,  1.01653677765818, -0.0646145,
 2022-Jul-14 00:00, , ,   292.97679,  -21.75698,  1.01649790283374, -0.0699954,
 2022-Jul-15 00:00, , ,   293.98973,  -21.60589,  1.01645591768254, -0.0754199,
 2022-Jul-16 00:00, , ,   295.00063,  -21.44866,  1.01641073963924, -0.0810814,
 2022-Jul-17 00:00, , ,   296.00946,  -21.28536,  1.01636218611798, -0.0871289,
 2022-Jul-18 00:00, , ,   297.01619,  -21.11605,  1.01631000523700, -0.0936528,
 2022-Jul-19 00:00, , ,   298.02078,  -20.94078,  1.01625390938072, -0.1006880,
 2022-Jul-20 00:00, , ,   299.02319,  -20.75961,  1.01619360358419, -0.1082276,
 2022-Jul-21 00:00, , ,   300.02338,  -20.57260,  1.01612880522248, -0.1162383,
 2022-Jul-22 00:00, , ,   301.02132,  -20.37982,  1.01605925534157, -0.1246732,
 2022-Jul-23 00:00, , ,   302.01695,  -20.18134,  1.01598472391302, -0.1334801,
 2022-Jul-24 00:00, , ,   303.01025,  -19.97722,  1.01590501162267, -0.1426051,
 2022-Jul-25 00:00, , ,   304.00117,  -19.76753,  1.01581995029704, -0.1519942,
 2022-Jul-26 00:00, , ,   304.98968,  -19.55235,  1.01572940333117, -0.1615920,
 2022-Jul-27 00:00, , ,   305.97574,  -19.33176,  1.01563326680423, -0.1713404,
 2022-Jul-28 00:00, , ,   306.95934,  -19.10581,  1.01553147144712, -0.1811773,
 2022-Jul-29 00:00, , ,   307.94043,  -18.87460,  1.01542398527171, -0.1910356,
 2022-Jul-30 00:00, , ,   308.91899,  -18.63821,  1.01531081647871, -0.2008432,
 2022-Jul-31 00:00, , ,   309.89501,  -18.39671,  1.01519201622108, -0.2105238,
 2022-Aug-01 00:00, , ,   310.86846,  -18.15019,  1.01506768088262, -0.2199972,
 2022-Aug-02 00:00, , ,   311.83933,  -17.89873,  1.01493795367279, -0.2291815,
 2022-Aug-03 00:00, , ,   312.80761,  -17.64242,  1.01480302544011, -0.2379941,
 2022-Aug-04 00:00, , ,   313.77329,  -17.38134,  1.01466313455688, -0.2463534,
 2022-Aug-05 00:00, , ,   314.73638,  -17.11558,  1.01451856544022, -0.2541821,
 2022-Aug-06 00:00, , ,   315.69687,  -16.84522,  1.01436964473772, -0.2614124,
 2022-Aug-07 00:00, , ,   316.65480,  -16.57036,  1.01421673354802, -0.2679946,
 2022-Aug-08 00:00, , ,   317.61017,  -16.29108,  1.01406021361849, -0.2739092,
 2022-Aug-09 00:00, , ,   318.56301,  -16.00746,  1.01390046586583, -0.2791807,
 2022-Aug-10 00:00, , ,   319.51336,  -15.71959,  1.01373784144165, -0.2838889,
 2022-Aug-11 00:00, , ,   320.46127,  -15.42755,  1.01357262896791, -0.2881698,
 2022-Aug-12 00:00, , ,   321.40678,  -15.13142,  1.01340502518159, -0.2922019,
 2022-Aug-13 00:00, , ,   322.34996,  -14.83128,  1.01323511749313, -0.2961800,
 2022-Aug-14 00:00, , ,   323.29084,  -14.52720,  1.01306288395653, -0.3002832,
 2022-Aug-15 00:00, , ,   324.22949,  -14.21927,  1.01288820991835, -0.3046503,
 2022-Aug-16 00:00, , ,   325.16597,  -13.90756,  1.01271091491416, -0.3093699,
